Consulta_por,n_pacientes,Comuna,Mes,Año
IRA ALTA,448,Santiago,enero,2019
SINDROME BRONQUIAL OBSTRUCTIVO,30,Santiago,enero,2019
NEUMONÍA,38,Santiago,enero,2019
ASMA,17,Santiago,enero,2019
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,6,Santiago,enero,2019
OTRAS RESPIRATORIAS,219,Santiago,enero,2019
CARDIOVASCULAR,3,Santiago,enero,2019
IRA ALTA,117,Cerrillos,enero,2019
SINDROME BRONQUIAL OBSTRUCTIVO,16,Cerrillos,enero,2019
NEUMONÍA,7,Cerrillos,enero,2019
ASMA,4,Cerrillos,enero,2019
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,7,Cerrillos,enero,2019
OTRAS RESPIRATORIAS,59,Cerrillos,enero,2019
CARDIOVASCULAR,0,Cerrillos,enero,2019
IRA ALTA,272,Cerro Navia,enero,2019
SINDROME BRONQUIAL OBSTRUCTIVO,60,Cerro Navia,enero,2019
NEUMONÍA,23,Cerro Navia,enero,2019
ASMA,95,Cerro Navia,enero,2019
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,17,Cerro Navia,enero,2019
OTRAS RESPIRATORIAS,54,Cerro Navia,enero,2019
CARDIOVASCULAR,733,Cerro Navia,enero,2019
IRA ALTA,427,Conchalí,enero,2019
SINDROME BRONQUIAL OBSTRUCTIVO,47,Conchalí,enero,2019
NEUMONÍA,41,Conchalí,enero,2019
ASMA,101,Conchalí,enero,2019
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,58,Conchalí,enero,2019
OTRAS RESPIRATORIAS,90,Conchalí,enero,2019
CARDIOVASCULAR,78,Conchalí,enero,2019
IRA ALTA,1.167,El Bosque,enero,2019
SINDROME BRONQUIAL OBSTRUCTIVO,132,El Bosque,enero,2019
NEUMONÍA,112,El Bosque,enero,2019
ASMA,53,El Bosque,enero,2019
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,88,El Bosque,enero,2019
OTRAS RESPIRATORIAS,468,El Bosque,enero,2019
CARDIOVASCULAR,565,El Bosque,enero,2019
IRA ALTA,62,Estación Central,enero,2019
SINDROME BRONQUIAL OBSTRUCTIVO,46,Estación Central,enero,2019
NEUMONÍA,9,Estación Central,enero,2019
ASMA,16,Estación Central,enero,2019
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,3,Estación Central,enero,2019
OTRAS RESPIRATORIAS,64,Estación Central,enero,2019
CARDIOVASCULAR,4,Estación Central,enero,2019
IRA ALTA,562,Huechuraba,enero,2019
SINDROME BRONQUIAL OBSTRUCTIVO,78,Huechuraba,enero,2019
NEUMONÍA,72,Huechuraba,enero,2019
ASMA,32,Huechuraba,enero,2019
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,24,Huechuraba,enero,2019
OTRAS RESPIRATORIAS,140,Huechuraba,enero,2019
CARDIOVASCULAR,50,Huechuraba,enero,2019
IRA ALTA,392,Independencia,enero,2019
SINDROME BRONQUIAL OBSTRUCTIVO,48,Independencia,enero,2019
NEUMONÍA,18,Independencia,enero,2019
ASMA,26,Independencia,enero,2019
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,4,Independencia,enero,2019
OTRAS RESPIRATORIAS,344,Independencia,enero,2019
CARDIOVASCULAR,176,Independencia,enero,2019
IRA ALTA,516,La Cisterna,enero,2019
SINDROME BRONQUIAL OBSTRUCTIVO,48,La Cisterna,enero,2019
NEUMONÍA,46,La Cisterna,enero,2019
ASMA,90,La Cisterna,enero,2019
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,56,La Cisterna,enero,2019
OTRAS RESPIRATORIAS,82,La Cisterna,enero,2019
CARDIOVASCULAR,1.016,La Cisterna,enero,2019
IRA ALTA,3.382,La Florida,enero,2019
SINDROME BRONQUIAL OBSTRUCTIVO,170,La Florida,enero,2019
NEUMONÍA,338,La Florida,enero,2019
ASMA,172,La Florida,enero,2019
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,104,La Florida,enero,2019
OTRAS RESPIRATORIAS,740,La Florida,enero,2019
CARDIOVASCULAR,1.202,La Florida,enero,2019
IRA ALTA,538,La Granja,enero,2019
SINDROME BRONQUIAL OBSTRUCTIVO,138,La Granja,enero,2019
NEUMONÍA,82,La Granja,enero,2019
ASMA,78,La Granja,enero,2019
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,68,La Granja,enero,2019
OTRAS RESPIRATORIAS,398,La Granja,enero,2019
CARDIOVASCULAR,1.074,La Granja,enero,2019
IRA ALTA,1.340,La Pintana,enero,2019
SINDROME BRONQUIAL OBSTRUCTIVO,226,La Pintana,enero,2019
NEUMONÍA,128,La Pintana,enero,2019
ASMA,156,La Pintana,enero,2019
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,42,La Pintana,enero,2019
OTRAS RESPIRATORIAS,486,La Pintana,enero,2019
CARDIOVASCULAR,678,La Pintana,enero,2019
IRA ALTA,70,La Reina,enero,2019
SINDROME BRONQUIAL OBSTRUCTIVO,6,La Reina,enero,2019
NEUMONÍA,8,La Reina,enero,2019
ASMA,10,La Reina,enero,2019
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,2,La Reina,enero,2019
OTRAS RESPIRATORIAS,172,La Reina,enero,2019
CARDIOVASCULAR,24,La Reina,enero,2019
IRA ALTA,380,Las Condes,enero,2019
SINDROME BRONQUIAL OBSTRUCTIVO,44,Las Condes,enero,2019
